RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
566,16,Tim Jones,JAC,WR225,12,4 out of 5 stars,-
567,16,Tejhaun Palmer,ARI,WR226,11,3 out of 5 stars,-
568,16,DeAndre Carter,CHI,WR227,7,4 out of 5 stars,-
569,16,Ramel Keyton,LV,WR228,10,3 out of 5 stars,-
570,16,Justin Shorter,BUF,WR229,12,2 out of 5 stars,-
571,16,Andy Isabella,BUF,WR230,12,2 out of 5 stars,-
572,16,Lance McCutcheon,NYJ,WR231,12,4 out of 5 stars,-
573,16,KJ Hamler,BUF,WR232,12,2 out of 5 stars,-
574,16,Stanley Morgan Jr.,NO,WR233,12,3 out of 5 stars,-
575,16,Tylan Wallace,BAL,WR234,14,3 out of 5 stars,-
576,16,Quintez Cephus,HOU,WR235,14,3 out of 5 stars,-
577,16,Marvin Jones Jr.,FA,WR236,-,-,-
578,16,Daniel Arias,ARI,WR237,11,3 out of 5 stars,-
579,16,Damiere Byrd,WAS,WR238,14,3 out of 5 stars,-
580,16,Laquon Treadwell,IND,WR239,14,4 out of 5 stars,-
581,16,Kaylon Geiger Sr.,FA,WR240,-,-,-
582,16,Austin Trammell,JAC,WR241,12,4 out of 5 stars,-
583,16,Jeff Cotton Jr.,FA,WR242,-,-,-
584,16,Irvin Charles,NYJ,WR243,12,4 out of 5 stars,-
585,16,Ben Skowronek,HOU,WR244,14,3 out of 5 stars,-
586,16,Juwann Winfree,IND,WR245,14,4 out of 5 stars,-
587,16,Trent Taylor,SF,WR246,9,2 out of 5 stars,-
588,16,Samori Toure,GB,WR247,10,4 out of 5 stars,-
589,16,Randall Cobb,FA,WR248,-,-,-
590,16,D.J. Montgomery,IND,WR249,14,4 out of 5 stars,-
591,16,Willie Snead IV,FA,WR250,-,-,-
592,16,Danny Gray,SF,WR251,9,2 out of 5 stars,-
593,16,James Proche II,CLE,WR252,10,3 out of 5 stars,-
594,16,James Butler,FA,WR253,-,-,-
